"group_type","system","area","level","original","median","ci_low","ci_high","ci_width","abs_shift"
"country","ARWU","France","Top10",0,0,0,0,0,0
"country","ARWU","Germany","Top10",0,0,0,0,0,0
"country","ARWU","UK","Top10",2,2,2,2,0,0
"country","ARWU","France","Top20",0,0,0,0,0,0
"country","ARWU","Germany","Top20",0,0,0,0,0,0
"country","ARWU","UK","Top20",2,3,2,3,1,1
"country","ARWU","France","Top50",2,2,1,2,1,0
"country","ARWU","Germany","Top50",0,2,2,2,0,2
"country","ARWU","UK","Top50",5,6,6,6,0,1
"country","ARWU","France","Top100",3,4,5,13,8,1
"country","ARWU","Germany","Top100",6,8,7,8,1,2
"country","ARWU","UK","Top100",11,12,12,12,0,1
"country","ARWU","France","Top200",7,8,7,9,2,1
"country","ARWU","Germany","Top200",14,15,15,16,1,1
"country","ARWU","UK","Top200",22,23,21,24,3,1
"country","THES","France","Top10",0,0,0,0,0,0
"country","THES","Germany","Top10",0,0,0,0,0,0
"country","THES","UK","Top10",4,4,4,4,0,0
"country","THES","France","Top20",0,0,0,0,0,0
"country","THES","Germany","Top20",0,0,0,0,0,0
"country","THES","UK","Top20",5,6,6,7,1,1
"country","THES","France","Top50",2,1,1,1,0,1
"country","THES","Germany","Top50",0,0,0,0,0,0
"country","THES","UK","Top50",8,14,12,15,3,6
"country","THES","France","Top100",2,2,2,2,0,0
"country","THES","Germany","Top100",3,2,2,3,1,1
"country","THES","UK","Top100",17,26,22,29,7,9
"country","THES","France","Top200",4,5,5,6,1,1
"country","THES","Germany","Top200",11,11,11,12,1,0
"country","THES","UK","Top200",29,38,35,40,5,9
"region","ARWU","Europe","Top10",2,2,2,2,0,0
"region","ARWU","USA","Top10",8,8,8,8,0,0
"region","ARWU","China","Top10",0,0,0,0,0,0
"region","ARWU","Europe","Top20",2,3,3,4,1,1
"region","ARWU","USA","Top20",17,16,16,16,0,1
"region","ARWU","China","Top20",0,0,0,0,0,0
"region","ARWU","Europe","Top50",10,14,13,15,2,4
"region","ARWU","USA","Top50",36,31,30,32,2,5
"region","ARWU","China","Top50",0,0,0,0,0,0
"region","ARWU","Europe","Top100",34,37,36,40,4,3
"region","ARWU","USA","Top100",54,49,48,52,4,5
"region","ARWU","China","Top100",0,0,0,0,0,0
"region","ARWU","Europe","Top200",79,82,79,84,5,3
"region","ARWU","USA","Top200",90,88,87,89,2,2
"region","ARWU","China","Top200",1,1,1,1,0,0
"region","THES","Europe","Top10",4,4,4,4,0,0
"region","THES","USA","Top10",6,6,5,6,1,0
"region","THES","China","Top10",0,0,0,0,0,0
"region","THES","Europe","Top20",5,7,7,9,2,2
"region","THES","USA","Top20",13,8,7,12,5,5
"region","THES","China","Top20",0,1,0,2,2,1
"region","THES","Europe","Top50",12,20,17,21,4,8
"region","THES","USA","Top50",20,16,14,19,5,4
"region","THES","China","Top50",4,3,3,3,0,1
"region","THES","Europe","Top100",36,47,42,49,7,11
"region","THES","USA","Top100",37,29,25,33,8,8
"region","THES","China","Top100",5,4,3,4,1,1
"region","THES","Europe","Top200",82,93,86,96,10,11
"region","THES","USA","Top200",59,53,50,57,7,6
"region","THES","China","Top200",11,10,9,11,2,1
